shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_536_1,24.84101,125.20339,130003
shapes_536_1,24.84106,125.20348,130004
shapes_536_1,24.84221,125.20489,130005
shapes_536_1,24.84276,125.20566,130006
shapes_536_1,24.84281,125.20574,130007
shapes_536_1,24.84283,125.20576,130008
shapes_536_1,24.84283,125.20576,140001
shapes_536_1,24.8435,125.20648,140002
shapes_536_1,24.84382,125.20719,140003
shapes_536_1,24.84391,125.20766,140004
shapes_536_1,24.8439,125.20806,140005
shapes_536_1,24.84378,125.20849,140006
shapes_536_1,24.84363,125.20887,140007
shapes_536_1,24.84375,125.20912,140008
shapes_536_1,24.84375,125.20912,150001
shapes_536_1,24.84402,125.20972,150002
shapes_536_1,24.8442,125.20998,150003
shapes_536_1,24.84467,125.21007,150004
shapes_536_1,24.84476,125.21012,150005
shapes_536_1,24.84479,125.21023,150006
shapes_536_1,24.84473,125.21035,150007
shapes_536_1,24.84401,125.21103,150008
shapes_536_1,24.84371,125.21146,150009
shapes_536_1,24.84362,125.21154,150010
shapes_536_1,24.84362,125.21154,160001
shapes_536_1,24.84334,125.21178,160002
shapes_536_1,24.84317,125.21185,160003
shapes_536_1,24.84262,125.21199,160004
shapes_536_1,24.84243,125.21218,160005
shapes_536_1,24.84242,125.21219,160006
shapes_536_1,24.84242,125.21219,170001
shapes_536_1,24.84233,125.21232,170002
shapes_536_1,24.84229,125.21237,170003
shapes_536_1,24.84222,125.21242,170004
shapes_536_1,24.84205,125.21187,170005
shapes_536_1,24.84143,125.21206,170006
shapes_536_1,24.83909,125.2129,170007
shapes_536_1,24.83842,125.2132,170008
shapes_536_1,24.83805,125.21333,170009
shapes_536_1,24.838,125.21346,170010
shapes_536_1,24.83801,125.21377,170011
shapes_536_1,24.838,125.21377,170012
shapes_536_1,24.838,125.21377,180001
shapes_536_1,24.83801,125.21377,180002
shapes_536_1,24.838,125.21346,180003
shapes_536_1,24.83805,125.21333,180004
shapes_536_1,24.83842,125.2132,180005
shapes_536_1,24.83909,125.2129,180006
shapes_536_1,24.83861,125.21239,180007
shapes_536_1,24.83842,125.21194,180008
shapes_536_1,24.83836,125.2119,180009
shapes_536_1,24.83812,125.21202,180010
shapes_536_1,24.838,125.21208,180011
shapes_536_1,24.83724,125.21272,180012
shapes_536_1,24.83664,125.21293,180013
